[2018-02-21T13:07:16+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-21T13:35:56+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-21T13:35:56+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-22T09:24:04+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-22T09:24:04+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-22T10:19:00+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-22T10:19:00+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-22T10:59:32+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-22T10:59:32+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-22T13:40:51+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-22T13:40:51+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-22T16:14:09+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-22T16:14:09+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-26T13:27:59+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-26T13:27:59+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-26T13:51:23+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-26T13:51:23+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-26T13:54:06+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-26T13:54:06+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-26T13:54:45+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-26T13:54:45+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-03-01T13:39:44+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-03-01T13:39:44+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-03-01T17:32:50+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-03-01T17:32:50+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-03-02T13:14:24+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-03-02T13:14:24+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-03-02T14:15:15+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-03-02T14:15:15+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
